ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,MODEL_LOG_LIK_LM,MODEL_N,WALD_TEST_SDEPENDANCE_PVALUE,LR_TEST_SDEPENDANCE_PVALUE
A98_W97q4_creW_b97q4_s03q4,APRSpNF_RATE_W,-7.30E-04,0.006721114,-0.10859253,0.913525686,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,APR_USD_RATE,-0.004285373,0.002421048,-1.770048707,0.076719027,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,APR_RATE_W,-0.004439995,0.003336876,-1.330584178,0.183325871,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,rho,0.017265667,0.112207431,0.15387276,0.877710062,-49.04647643,88,0.877710062,0.878047945
A98_W98q4_creW_b97q4_s01q4,(Intercept),1.064868936,0.280909539,3.790789522,1.50E-04,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,ActivoN,3.76E-08,2.03E-08,1.854537285,0.063662331,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,C8Est_w,6.68E-04,0.004316156,0.154725151,0.877038001,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,CAR_IRR_3A6,-0.008177329,0.00771726,-1.05961567,0.289319482,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,P_ROA,0.023637851,0.017898947,1.320628008,0.186625429,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,P_DEP_ARS_RATE,0.0056611,0.015056505,0.375990316,0.706924095,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,P_LOANS_ARS_RATE_W,-0.0040074,0.006511115,-0.615470545,0.538244016,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,APRSpNF_RATE_W,0.007097875,0.006227168,1.139824045,0.254359614,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,APR_USD_RATE,-0.002752463,0.002253013,-1.221681084,0.221828252,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,APR_RATE_W,2.05E-05,0.003054419,0.006727713,0.994632102,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s01q4,rho,-0.184982038,0.113419014,1.630961437,0.102898457,-43.6203523,88,0.102898457,0.128670338
A98_W98q4_creW_b97q4_s03q4,(Intercept),1.188830194,0.293675058,4.048114268,5.16E-05,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,ActivoN,4.42E-08,2.16E-08,2.051032778,0.040263755,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,C8Est_w,0.001419154,0.004586944,0.309389873,0.757024973,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,CAR_IRR_3A6,-0.016220283,0.008206419,-1.976536135,0.048094087,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,P_ROA,0.030820609,0.018996501,1.622436081,0.104710009,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,P_DEP_ARS_RATE,0.017990909,0.016014299,1.123427844,0.26125583,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,P_LOANS_ARS_RATE_W,-1.32E-04,0.006863108,-0.019272333,0.984623855,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,APRSpNF_RATE_W,-3.89E-04,0.006626536,-0.05872621,0.953170183,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,APR_USD_RATE,-0.004088631,0.002393716,-1.708068483,0.087623636,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,APR_RATE_W,-0.004991717,0.003266518,-1.528146114,0.126476264,-49.04647643,88,0.097124625,0.126213134
A98_W98q4_creW_b97q4_s03q4,rho,-0.205025044,0.123586775,1.65895617,0.097124625,-49.04647643,88,0.097124625,0.126213134
A99_Wtill99q4_creW_b97q4_s03q4,(Intercept),1.377649837,0.331206699,4.15948663,3.19E-05,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,ActivoN,4.23E-08,2.06E-08,2.049112302,0.040451135,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,C8Est_w,-0.001205058,0.003547078,-0.339732584,0.734057921,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,CAR_IRR_3A6,-0.010326775,0.006488491,-1.591552673,0.111485251,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,P_ROA,0.00813567,0.018116403,0.449077544,0.653375719,-52.35273846,87,0.088285631,0.125779739
A99_Wtill99q4_creW_b97q4_s03q4,P_DEP_ARS_RATE,0.014951251,0.019590368,0.763193995,0.44534771,-52.35273846,87,0.088285631,0.125779739
