"","FECHA_Q","FECHA_A","IDENT_ACREEDORA","IDENT_DEUDORA","PRESTAMOS","IDENT","A_ActivoN","A_APRestamos","A_GRUPO_ID_UNI","D_ActivoN","D_APRestamos","D_GRUPO_ID_UNI","_merge","W_A_A","W_A_PR","FECHA_D","W_D_A","W_D_A_w","W_D_PR","W_D_PR_w","weight"
"1",1998 Q3,1998,1,15,3.5,15,1585246,743585,1,9185718,4859847.5,6,3,2.2078593246988e-06,4.70692657472682e-06,1998-07-01,3.81026296736309e-07,3.81026296736309e-07,7.20187188107957e-07,7.20187188107957e-07,0.000470692657472682
"2",1998 Q3,1998,1,293,0.300000011920929,293,1585246,743585,1,70129.6640625,41269.66796875,3,3,1.89245085380207e-07,4.03450854946641e-07,1998-07-01,4.27779059464228e-06,4.27779059464228e-06,7.26926145944162e-06,7.26926145944162e-06,4.03450854946641e-05
"3",1998 Q3,1998,1,325,591.200012207031,325,1585246,743585,1,2204114.25,250763,1,3,0.000372938957298175,0.000795067171566188,1998-07-01,0.000268225674517453,0.000268225674517453,0.00235760468058288,0.00235760468058288,0.0795067171566188
"4",1998 Q1,1998,1,44059,16556,44059,1821848.375,1088672.375,1,400057.34375,362453.34375,8,3,0.00908747408539057,0.0152075132355094,1998-01-01,0.0413840673863888,0.0413840673863888,0.0456776022911072,0.0456776022911072,1.52075132355094
"5",1998 Q3,1998,1,44059,8029.89990234375,44059,1585246,743585,1,487081,449930,8,3,0.0050653968937695,0.0107988994568586,1998-07-01,0.016485758125782,0.016485758125782,0.0178469978272915,0.0178469978272915,1.07988994568586
"6",1998 Q1,1998,1,44088,20037.30078125,44088,1821848.375,1088672.375,1,381340.65625,311548.34375,8,3,0.0109983356669545,0.0184052623808384,1998-01-01,0.0525443591177464,0.0525443591177464,0.0643152222037315,0.0643152222037315,1.84052623808384
"7",1998 Q3,1998,1,44088,20533.69921875,44088,1585246,743585,1,439580,361388.65625,8,3,0.0129530047997832,0.0276144612580538,1998-07-01,0.0467120856046677,0.0467120856046677,0.0568188801407814,0.0568188801407814,2.76144612580538
"8",1998 Q1,1998,1,44093,19461.69921875,44093,1821848.375,1088672.375,1,NA,NA,NA,1,0.0106823919340968,0.0178765431046486,1998-01-01,NA,NA,NA,NA,1.78765431046486
"9",1998 Q3,1998,1,44093,19989.900390625,44093,1585246,743585,1,NA,NA,NA,1,0.0126099670305848,0.026883140206337,1998-07-01,NA,NA,NA,NA,2.6883140206337
"10",1998 Q1,1998,3,6,3447.89990234375,6,1105880.375,330058.65625,6,888459,611851,1,3,0.00311778741888702,0.0104463249444962,1998-01-01,0.003880764124915,0.003880764124915,0.00563519541174173,0.00563519541174173,1.04463249444962
"11",1998 Q3,1998,3,6,3472.30004882812,6,1273144,412180.34375,6,1030066.3125,715453.6875,1,3,0.00272734276950359,0.00842422526329756,1998-07-01,0.00337094813585281,0.00337094813585281,0.00485328398644924,0.00485328398644924,0.842422526329756
"12",1998 Q1,1998,3,7,4637,7,1105880.375,330058.65625,6,11715611,5761325.5,3,3,0.00419303961098194,0.0140490178018808,1998-01-01,0.000395796698285267,0.000395796698285267,0.000804849492851645,0.000804849492851645,1.40490178018808
"13",1998 Q3,1998,3,7,4603.9501953125,7,1273144,412180.34375,6,11701492,6244769.5,3,3,0.00361620541661978,0.0111697474494576,1998-07-01,0.000393449852708727,0.000393449852708727,0.000737249036319554,0.000737249036319554,1.11697474494576
"14",1998 Q1,1998,3,14,219.800003051758,14,1105880.375,330058.65625,6,12375640,7313431.5,5,3,0.000198755675228313,0.000665942265186459,1998-01-01,1.77606980287237e-05,1.77606980287237e-05,3.00542924378533e-05,3.00542924378533e-05,0.0665942265186459
"15",1998 Q3,1998,3,16,4737,16,1273144,412180.34375,6,7659239.5,3784549.25,6,3,0.0037207102868706,0.0114925419911742,1998-07-01,0.000618468737229705,0.000618468737229705,0.0012516682036221,0.0012516682036221,1.14925419911742
"16",1998 Q1,1998,3,34,1541.69995117188,34,1105880.375,330058.65625,6,937816,556000,3,3,0.00139409292023629,0.00467098783701658,1998-01-01,0.00164392578881234,0.00164392578881234,0.00277284160256386,0.00277284160256386,0.467098783701658
"17",1998 Q1,1998,3,44,633.400024414062,44,1105880.375,330058.65625,6,3970464.25,3296498.75,4,3,0.000572756340261549,0.00191905291285366,1998-01-01,0.000159527946379967,0.000159527946379967,0.000192143255844712,0.000192143255844712,0.191905291285366
"18",1998 Q1,1998,3,67,2744.30004882812,67,1105880.375,330058.65625,6,3659331.75,2421483.25,1,3,0.00248155230656266,0.00831458251923323,1998-01-01,0.000749945698771626,0.000749945698771626,0.00113331363536417,0.00113331363536417,0.831458251923323
"19",1998 Q3,1998,3,67,457.950012207031,67,1273144,412180.34375,6,3670407,2532807,1,3,0.000359700090484694,0.00111104280222207,1998-07-01,0.000124768179375678,0.000124768179375678,0.000180807313881814,0.000180807313881814,0.111104280222207
"20",1998 Q3,1998,3,72,1002.59997558594,72,1273144,412180.34375,6,13330320,4935689.5,1,3,0.000787499302532524,0.0024324303958565,1998-07-01,7.52119958633557e-05,7.52119958633557e-05,0.000203132702154107,0.000203132702154107,0.24324303958565
"21",1998 Q1,1998,3,167,1761,167,1105880.375,330058.65625,6,66887.6640625,51644.33203125,1,3,0.0015923964092508,0.00533541524782777,1998-01-01,0.0263277254998684,0.0263277254998684,0.0340986102819443,0.0340986102819443,0.533541524782777
