ActivoN,C8Est_w,CAR_IRR_3A6,P_ROA,P_DEP_ARS_RATE,P_LOANS_ARS_RATE_W,APRSpNF_RATE_W,APR_USD_RATE,APR_RATE_W,GDP_D_Q,ARG_YTM
145481.328125,8.69608211517334,6.826666831970215,6.266666412353516,4.2266669273376465,33.06999969482422,0,1.5453717708587646,86.6782455444336,1.351457563598089,9.46998405456543
171122,9.776293754577637,5.720000267028809,0.8250000476837158,4.864999771118164,13.444999694824219,39.71064758300781,16.965543746948242,56.90068435668945,1.351457563598089,9.46998405456543
337455.34375,5.5069732666015625,9.283332824707031,1.0699999332427979,1.753333330154419,16.856666564941406,5.695188045501709,10.699568748474121,38.18727493286133,1.351457563598089,9.46998405456543
160576.328125,12.38504695892334,5.686666488647461,-0.21333333849906921,6.230000019073486,27.296667098999023,0,40.53166961669922,40.41008377075195,1.351457563598089,9.46998405456543
402950.65625,15.150915145874023,1.003333330154419,-8.103333473205566,2.5166666507720947,13.963333129882813,0,77.37227630615234,44.81181335449219,1.351457563598089,9.46998405456543
27968.333984375,43.21879577636719,19.170000076293945,-0.27000001072883606,10.324999809265137,35.48999786376953,0,32.584049224853516,63.27171325683594,1.351457563598089,9.46998405456543
3425904.25,8.059557914733887,6.859999656677246,0.6299999952316284,4.975000381469727,18.329999923706055,3.159535845043138e-5,60.598663330078125,61.25668716430664,1.351457563598089,9.46998405456543
225712,15.8596830368042,1.0766667127609253,2.240000009536743,7.303333282470703,19.753334045410156,29.33131980895996,57.24077606201172,34.48441696166992,1.351457563598089,9.46998405456543
8987331,10.396939277648926,2.7866666316986084,4.063333511352539,4.293333530426025,20.81999969482422,11.55901050567627,74.939178466796875,46.97255325317383,1.351457563598089,9.46998405456543
972232.3125,6.957025051116943,0.10333333164453506,-0.19333334267139435,13.454999923706055,9.276666641235352,0,70.93756103515625,19.08364486694336,1.351457563598089,9.46998405456543
5910574.5,8.186149597167969,5.483333587646484,2.0999999046325684,14.335000038146973,21.84666633605957,0,70.61454010009766,50.88801574707031,1.351457563598089,9.46998405456543
62932.33203125,17.075550079345703,3.370000123977661,-2.256666660308838,4.043333053588867,20.989999771118164,0,73.703582763671875,54.16850662231445,1.351457563598089,9.46998405456543
25464.666015625,14.576911926269531,7.8433332443237305,2.1499998569488525,11.369999885559082,33.13500213623047,0,38.540714263916016,63.190452575683594,1.351457563598089,9.46998405456543
129104.3359375,18.734235763549805,2.2333333492279053,0.3766666650772095,6.940000057220459,18.066665649414063,0,43.6618766784668,64.27850341796875,1.351457563598089,9.46998405456543
558828,11.056934356689453,0.6666666269302368,0.3100000023841858,4.9666666984558105,9.776666641235352,0,62.71190643310547,62.23586654663086,1.351457563598089,9.46998405456543
